trialNo,trialType,participantRole,targetImage,distractorImage,soundFile,partner
1,fillerMatch,match,g4_c4,g4_c1,g4_c4_1,minimal
2,fillerDir,direct,ani2,ani1,NA,minimal
3,fillerMatch,match,k3_c3,k3_c1,k3_c3_1,minimal
4,fillerDir,direct,m_an3,m_su1,NA,minimal
5,fillerMatch,match,m_fr3,m_ha4,m_fr3,minimal
6,fillerDir,direct,m_ha3,m_sa3,NA,minimal
7,prime,match,g3_c2,g4_c3,g3_1,minimal
8,fillerDir,direct,m_an3,m_ha2,NA,minimal
9,fillerMatch,match,ani16,ani3,ani16_1,minimal
10,target,direct,g2_c2,k4_c4,NA,minimal
11,fillerMatch,match,ani5,ani16,ani5_1,minimal
12,fillerDir,direct,ani8,ani7,NA,minimal
13,fillerMatch,match,g2_c1,g1_c1,g2_1,minimal
14,fillerDir,direct,m_fr1,m_ha2,NA,minimal
15,prime,match,g4_c4,g3_c1,g4_1,minimal
16,fillerDir,direct,frv1,frv12,NA,minimal
17,fillerMatch,match,frv8,frv3,frv8_1,minimal
18,target,direct,g1_c4,k1_c1,NA,minimal
19,fillerMatch,match,f_sa1,f_di3,f_sa1,minimal
20,fillerDir,direct,ani15,ani6,NA,minimal
21,fillerMatch,match,ani4,ani8,ani4_1,minimal
22,fillerDir,direct,f_sa2,f_di2,NA,minimal
23,prime,match,g2_c2,k3_c1,g2_1,minimal
24,fillerDir,direct,f_sa2,f_an2,NA,minimal
25,fillerMatch,match,f_di1,f_su4,f_di1,minimal
26,target,direct,k1_c4,g3_c2,NA,minimal
27,fillerMatch,match,f_fr1,f_sa1,f_fr1,minimal
28,fillerDir,direct,g4_c2,g3_c2,NA,minimal
29,prime,match,k3_c2,g2_c4,k3_1,minimal
30,fillerDir,direct,frv15,frv7,NA,minimal
31,fillerMatch,match,m_ha4,m_an4,m_ha4,minimal
32,target,direct,k3_c2,k1_c3,NA,minimal
33,fillerMatch,match,m_fr4,m_sa1,m_fr4,minimal
34,fillerDir,direct,ani16,ani3,NA,minimal
35,fillerMatch,match,ani7,ani15,ani7_1,minimal
36,fillerDir,direct,m_su3,m_an1,NA,minimal
37,prime,match,g3_c3,g2_c4,g3_1,minimal
38,fillerDir,direct,m_ha3,m_sa1,NA,minimal
39,fillerMatch,match,m_fr2,m_su1,m_fr2,minimal
40,target,direct,g1_c3,g3_c1,NA,minimal
41,fillerMatch,match,g1_c3,g1_c1,g1_c3_1,minimal
42,fillerDir,direct,g4_c3,g4_c2,NA,minimal
43,fillerMatch,match,m_di4,m_su4,m_di4,minimal
44,fillerDir,direct,k2_c2,k2_c3,NA,minimal
45,fillerMatch,match,f_ha2,f_di1,f_ha2,minimal
46,fillerDir,direct,ani9,ani10,NA,minimal
47,prime,match,k3_c1,k1_c3,k3_1,minimal
48,fillerDir,direct,m_fr1,m_su2,NA,minimal
49,fillerMatch,match,f_fr3,f_ha4,f_fr3,minimal
50,target,direct,k1_c1,g2_c3,NA,minimal
51,fillerMatch,match,m_sa4,m_fr4,m_sa4,minimal
52,fillerDir,direct,f_an4,f_sa4,NA,minimal
53,fillerMatch,match,frv1,frv13,frv1_1,minimal
54,fillerDir,direct,m_an4,m_ha1,NA,minimal
55,prime,match,g1_c3,g3_c1,g1_1,minimal
56,fillerDir,direct,m_su3,m_sa3,NA,minimal
57,fillerMatch,match,m_sa2,m_ha4,m_sa2,minimal
58,target,direct,g4_c4,k4_c2,NA,minimal
59,fillerMatch,match,f_di4,f_fr2,f_di4,minimal
60,fillerDir,direct,f_ha3,f_di3,NA,minimal
61,prime,match,g1_c4,k1_c3,g1_1,minimal
62,fillerDir,direct,ani10,ani11,NA,minimal
63,fillerMatch,match,frv9,frv10,frv9_1,minimal
64,target,direct,g2_c4,g4_c2,NA,minimal
65,fillerMatch,match,frv5,frv15,frv5_1,minimal
66,fillerDir,direct,ani12,ani3,NA,minimal
67,prime,match,k3_c4,g2_c2,k3_1,minimal
68,fillerDir,direct,f_an4,f_ha1,NA,minimal
69,fillerMatch,match,ani1,ani12,ani1_1,minimal
70,target,direct,k4_c4,g3_c2,NA,minimal
71,fillerMatch,match,frv13,frv6,frv13_1,minimal
72,fillerDir,direct,k1_c1,g4_c1,NA,minimal
73,fillerMatch,match,g2_c2,k1_c2,g2_1,minimal
74,fillerDir,direct,frv8,frv13,NA,minimal
75,prime,match,k4_c2,k2_c1,k4_1,minimal
76,fillerDir,direct,f_ha3,f_sa4,NA,minimal
77,fillerMatch,match,m_su2,m_fr2,m_su2,minimal
78,target,direct,k4_c1,k2_c2,NA,minimal
79,fillerMatch,match,m_an2,m_ha4,m_an2,minimal
80,fillerDir,direct,g1_c4,g1_c3,NA,minimal
81,fillerMatch,match,g1_c1,g1_c2,g1_c1_1,minimal
82,fillerDir,direct,frv3,frv9,NA,minimal
83,fillerMatch,match,m_di1,m_sa2,m_di1,minimal
84,fillerDir,direct,f_an1,f_ha4,NA,minimal
85,prime,match,k2_c1,g4_c2,k2_1,minimal
86,fillerDir,direct,f_an1,f_sa4,NA,minimal
87,fillerMatch,match,f_sa4,f_su1,f_sa4,minimal
88,target,direct,k4_c3,g4_c1,NA,minimal
89,fillerMatch,match,f_di3,f_su3,f_di3,minimal
90,fillerDir,direct,frv2,frv5,NA,minimal
91,fillerMatch,match,f_su2,f_sa4,f_su2,minimal
92,fillerDir,direct,g3_c4,g4_c4,NA,minimal
93,fillerMatch,match,frv15,frv13,frv15_1,minimal
94,fillerDir,direct,k1_c4,k4_c4,NA,minimal
95,fillerMatch,match,ani3,ani14,ani3_1,minimal
96,fillerDir,direct,m_ha2,m_sa4,NA,minimal
97,prime,match,k4_c4,k1_c3,k4_1,minimal
98,fillerDir,direct,frv2,frv5,NA,minimal
99,fillerMatch,match,frv7,frv12,frv7_1,minimal
100,target,direct,g1_c2,k3_c3,NA,minimal
101,fillerMatch,match,ani14,ani4,ani14_1,minimal
102,fillerDir,direct,frv6,frv9,NA,minimal
103,fillerMatch,match,m_di3,m_fr3,m_di3,minimal
104,fillerDir,direct,ani1,ani12,NA,minimal
105,prime,match,g2_c2,k3_c1,g2_1,minimal
106,fillerDir,direct,ani15,ani4,NA,minimal
107,fillerMatch,match,ani6,ani16,ani6_1,minimal
108,target,direct,g3_c1,k4_c3,NA,minimal
109,fillerMatch,match,frv2,frv5,frv2_1,minimal
110,fillerDir,direct,m_sa1,m_ha2,NA,minimal
111,fillerMatch,match,k2_c4,k2_c2,k2_c4_1,minimal
112,fillerDir,direct,f_fr4,f_ha2,NA,minimal
113,prime,match,g1_c3,g3_c1,g1_1,minimal
114,fillerDir,direct,frv14,frv12,NA,minimal
115,fillerMatch,match,ani12,ani5,ani12_1,minimal
116,target,direct,k4_c2,k1_c1,NA,minimal
117,fillerMatch,match,f_an3,f_sa3,f_an3,minimal
118,fillerDir,direct,m_su1,m_ha2,NA,minimal
119,prime,match,g2_c3,g1_c1,g2_1,minimal
120,fillerDir,direct,m_an4,m_ha4,NA,minimal
121,fillerMatch,match,frv6,frv16,frv6_1,minimal
122,target,direct,k2_c3,k4_c2,NA,minimal
123,fillerMatch,match,g1_c2,g4_c2,g1_1,minimal
124,fillerDir,direct,m_ha4,m_di2,NA,minimal
125,prime,match,g3_c4,g4_c3,g3_1,minimal
126,fillerDir,direct,frv12,frv7,NA,minimal
127,fillerMatch,match,m_fr3,m_su1,m_fr3,minimal
128,target,direct,g3_c2,k2_c1,NA,minimal
129,fillerMatch,match,ani15,ani6,ani15_1,minimal
130,fillerDir,direct,frv9,frv3,NA,minimal
131,fillerMatch,match,ani7,ani5,ani7_1,minimal
132,fillerDir,direct,ani14,ani12,NA,minimal
133,fillerMatch,match,f_fr2,f_an4,f_fr2,minimal
134,fillerDir,direct,g3_c2,g3_c3,NA,minimal
135,prime,match,k4_c4,g4_c1,k4_1,minimal
136,fillerDir,direct,ani5,ani16,NA,minimal
137,fillerMatch,match,f_su4,f_an4,f_su4,minimal
138,target,direct,k2_c1,g2_c4,NA,minimal
139,fillerMatch,match,k4_c2,k4_c1,k4_c2_1,minimal
140,fillerDir,direct,f_ha4,f_di2,NA,minimal
141,fillerMatch,match,frv5,frv3,frv5_1,minimal
142,fillerDir,direct,frv7,frv1,NA,minimal
143,fillerMatch,match,frv13,frv8,frv13_1,minimal
144,fillerDir,direct,f_di2,f_su2,NA,minimal
145,prime,match,k2_c3,g2_c2,k2_1,minimal
146,fillerDir,direct,f_fr4,f_an3,NA,minimal
147,fillerMatch,match,f_sa1,f_ha2,f_sa1,minimal
148,target,direct,k1_c3,k4_c4,NA,minimal
149,fillerMatch,match,ani8,ani7,ani8_1,minimal
150,fillerDir,direct,ani10,ani6,NA,minimal
151,fillerMatch,match,f_ha1,f_di1,f_ha1,minimal
152,fillerDir,direct,ani11,ani1,NA,minimal
153,fillerMatch,match,g3_c1,k1_c1,g3_1,minimal
154,fillerDir,direct,ani13,ani12,NA,minimal
155,fillerMatch,match,k4_c3,g1_c3,k4_1,minimal
156,fillerDir,direct,frv4,frv5,NA,minimal
157,prime,match,g1_c1,k1_c2,g1_1,minimal
158,fillerDir,direct,m_ha2,m_di4,NA,minimal
159,fillerMatch,match,frv13,frv16,frv13_1,minimal
160,target,direct,k2_c2,k4_c4,NA,minimal
161,fillerMatch,match,ani16,ani3,ani16_1,minimal
162,fillerDir,direct,ani6,ani9,NA,minimal
163,prime,match,g3_c2,k2_c3,g3_1,minimal
164,fillerDir,direct,ani7,ani6,NA,minimal
165,fillerMatch,match,ani9,ani12,ani9_1,minimal
166,target,direct,g4_c2,k4_c3,NA,minimal
167,fillerMatch,match,m_di2,m_su3,m_di2,minimal
168,fillerDir,direct,m_fr2,m_sa1,NA,minimal
169,fillerMatch,match,k4_c4,k1_c4,k4_1,minimal
170,fillerDir,direct,g4_c1,k1_c1,NA,minimal
171,prime,match,k4_c2,g1_c4,k4_1,minimal
172,fillerDir,direct,frv3,frv10,NA,minimal
173,fillerMatch,match,f_fr1,f_di1,f_fr1,minimal
174,target,direct,k3_c4,g4_c2,NA,minimal
175,fillerMatch,match,k2_c3,k4_c3,k2_1,minimal
176,fillerDir,direct,g3_c3,g3_c4,NA,minimal
177,prime,match,g3_c3,g1_c4,g3_1,minimal
178,fillerDir,direct,frv16,frv11,NA,minimal
179,fillerMatch,match,frv5,frv7,frv5_1,minimal
180,target,direct,g1_c1,g3_c4,NA,minimal
181,fillerMatch,match,m_ha1,m_di2,m_ha1,minimal
182,fillerDir,direct,frv16,frv8,NA,minimal
183,prime,match,k2_c1,k4_c4,k2_1,minimal
184,fillerDir,direct,m_sa1,m_ha4,NA,minimal
185,fillerMatch,match,m_fr4,m_ha3,m_fr4,minimal
186,target,direct,g2_c1,k3_c4,NA,minimal
187,fillerMatch,match,f_su3,f_sa4,f_su3,minimal
188,fillerDir,direct,frv10,frv12,NA,minimal
189,fillerMatch,match,frv11,frv13,frv11_1,minimal
190,fillerDir,direct,k2_c1,k1_c1,NA,minimal
191,fillerMatch,match,f_sa3,f_su2,f_sa3,minimal
192,fillerDir,direct,m_sa2,m_ha4,NA,minimal
193,fillerMatch,match,k3_c2,k2_c2,k3_1,minimal
194,fillerDir,direct,k1_c2,g3_c2,NA,minimal
195,prime,match,k2_c2,g3_c1,k2_1,minimal
196,fillerDir,direct,ani11,ani6,NA,minimal
197,fillerMatch,match,frv10,frv15,frv10_1,minimal
198,target,direct,k1_c2,g4_c1,NA,minimal
199,fillerMatch,match,frv6,frv3,frv6_1,minimal
200,fillerDir,direct,g2_c3,k2_c3,NA,minimal
201,fillerMatch,match,k1_c3,k1_c4,k1_c3_1,minimal
202,fillerDir,direct,f_an2,f_ha3,NA,minimal
203,prime,match,g4_c1,g2_c2,g4_1,minimal
204,fillerDir,direct,ani3,ani9,NA,minimal
205,fillerMatch,match,f_ha2,f_fr1,f_ha2,minimal
206,target,direct,g4_c1,g2_c3,NA,minimal
