trialNo,trialType,participantRole,targetImage,distractorImage,soundFile,partner
1,fillerMatch,match,g4_c4,g4_c1,g4_c4_1,overspecific
2,fillerDir,direct,ani2,ani1,NA,overspecific
3,fillerMatch,match,k3_c3,k3_c1,k3_c3_1,overspecific
4,fillerDir,direct,m_an3,m_su1,NA,overspecific
5,fillerMatch,match,m_fr3,m_ha4,m_fr3,overspecific
6,fillerDir,direct,m_ha3,m_sa3,NA,overspecific
7,prime,match,g3_c2,g4_c3,g3_c2_1,overspecific
8,fillerDir,direct,m_an3,m_ha2,NA,overspecific
9,fillerMatch,match,ani16,ani3,ani16_1,overspecific
10,target,direct,g2_c2,k4_c4,NA,overspecific
11,fillerMatch,match,ani5,ani16,ani5_1,overspecific
12,fillerDir,direct,ani8,ani7,NA,overspecific
13,fillerMatch,match,g2_c1,g1_c1,g2_c1_1,overspecific
14,fillerDir,direct,m_fr1,m_ha2,NA,overspecific
15,prime,match,g4_c4,g3_c1,g4_c4_1,overspecific
16,fillerDir,direct,frv1,frv12,NA,overspecific
17,fillerMatch,match,frv8,frv3,frv8_1,overspecific
18,target,direct,g1_c4,k1_c1,NA,overspecific
19,fillerMatch,match,f_sa1,f_di3,f_sa1,overspecific
20,fillerDir,direct,ani15,ani6,NA,overspecific
21,fillerMatch,match,ani4,ani8,ani4_1,overspecific
22,fillerDir,direct,f_sa2,f_di2,NA,overspecific
23,prime,match,g2_c2,k3_c1,g2_c2_1,overspecific
24,fillerDir,direct,f_sa2,f_an2,NA,overspecific
25,fillerMatch,match,f_di1,f_su4,f_di1,overspecific
26,target,direct,k1_c4,g3_c2,NA,overspecific
27,fillerMatch,match,f_fr1,f_sa1,f_fr1,overspecific
28,fillerDir,direct,g4_c2,g3_c2,NA,overspecific
29,prime,match,k3_c2,g2_c4,k3_c2_1,overspecific
30,fillerDir,direct,frv15,frv7,NA,overspecific
31,fillerMatch,match,m_ha4,m_an4,m_ha4,overspecific
32,target,direct,k3_c2,k1_c3,NA,overspecific
33,fillerMatch,match,m_fr4,m_sa1,m_fr4,overspecific
34,fillerDir,direct,ani16,ani3,NA,overspecific
35,fillerMatch,match,ani7,ani15,ani7_1,overspecific
36,fillerDir,direct,m_su3,m_an1,NA,overspecific
37,prime,match,g3_c3,g2_c4,g3_c3_1,overspecific
38,fillerDir,direct,m_ha3,m_sa1,NA,overspecific
39,fillerMatch,match,m_fr2,m_su1,m_fr2,overspecific
40,target,direct,g1_c3,g3_c1,NA,overspecific
41,fillerMatch,match,g1_c3,g1_c1,g1_c3_1,overspecific
42,fillerDir,direct,g4_c3,g4_c2,NA,overspecific
43,fillerMatch,match,m_di4,m_su4,m_di4,overspecific
44,fillerDir,direct,k2_c2,k2_c3,NA,overspecific
45,fillerMatch,match,f_ha2,f_di1,f_ha2,overspecific
46,fillerDir,direct,ani9,ani10,NA,overspecific
47,prime,match,k3_c1,k1_c3,k3_c1_1,overspecific
48,fillerDir,direct,m_fr1,m_su2,NA,overspecific
49,fillerMatch,match,f_fr3,f_ha4,f_fr3,overspecific
50,target,direct,k1_c1,g2_c3,NA,overspecific
51,fillerMatch,match,m_sa4,m_fr4,m_sa4,overspecific
52,fillerDir,direct,f_an4,f_sa4,NA,overspecific
53,fillerMatch,match,frv1,frv13,frv1_1,overspecific
54,fillerDir,direct,m_an4,m_ha1,NA,overspecific
55,prime,match,g1_c3,g3_c1,g1_c3_1,overspecific
56,fillerDir,direct,m_su3,m_sa3,NA,overspecific
57,fillerMatch,match,m_sa2,m_ha4,m_sa2,overspecific
58,target,direct,g4_c4,k4_c2,NA,overspecific
59,fillerMatch,match,f_di4,f_fr2,f_di4,overspecific
60,fillerDir,direct,f_ha3,f_di3,NA,overspecific
61,prime,match,g1_c4,k1_c3,g1_c4_1,overspecific
62,fillerDir,direct,ani10,ani11,NA,overspecific
63,fillerMatch,match,frv9,frv10,frv9_1,overspecific
64,target,direct,g2_c4,g4_c2,NA,overspecific
65,fillerMatch,match,frv5,frv15,frv5_1,overspecific
66,fillerDir,direct,ani12,ani3,NA,overspecific
67,prime,match,k3_c4,g2_c2,k3_c4_1,overspecific
68,fillerDir,direct,f_an4,f_ha1,NA,overspecific
69,fillerMatch,match,ani1,ani12,ani1_1,overspecific
70,target,direct,k4_c4,g3_c2,NA,overspecific
71,fillerMatch,match,frv13,frv6,frv13_1,overspecific
72,fillerDir,direct,k1_c1,g4_c1,NA,overspecific
73,fillerMatch,match,g2_c2,k1_c2,g2_c2_1,overspecific
74,fillerDir,direct,frv8,frv13,NA,overspecific
75,prime,match,k4_c2,k2_c1,k4_c2_1,overspecific
76,fillerDir,direct,f_ha3,f_sa4,NA,overspecific
77,fillerMatch,match,m_su2,m_fr2,m_su2,overspecific
78,target,direct,k4_c1,k2_c2,NA,overspecific
79,fillerMatch,match,m_an2,m_ha4,m_an2,overspecific
80,fillerDir,direct,g1_c4,g1_c3,NA,overspecific
81,fillerMatch,match,g1_c1,g1_c2,g1_c1_1,overspecific
