object,label
images/o1_cB_n1.png,visivu
images/o1_cB_n2.png,kotisu
images/o1_cB_n3.png,vovaso
images/o2_cB_n1.png,kukati
images/o2_cB_n2.png,tikavu
images/o2_cB_n3.png,tovuti
images/o3_cB_n1.png,sikivi
images/o3_cB_n2.png,kasovu
images/o3_cB_n3.png,vutovi
images/o1_cG_n1.png,kokuki
images/o1_cG_n2.png,sukiti
images/o1_cG_n3.png,titatu
images/o2_cG_n1.png,kovoto
images/o2_cG_n2.png,vakoti
images/o2_cG_n3.png,tusiva
images/o3_cG_n1.png,kisoti
images/o3_cG_n2.png,vovivu
images/o3_cG_n3.png,kokiva
images/o1_cO_n1.png,kisivu
images/o1_cO_n2.png,kaviti
images/o1_cO_n3.png,katuko
images/o2_cO_n1.png,susako
images/o2_cO_n2.png,kavosa
images/o2_cO_n3.png,sukivu
images/o3_cO_n1.png,vivosu
images/o3_cO_n2.png,tasasi
images/o3_cO_n3.png,vukovi
