"NB in image and sound file names spaces should be replaced with underscores; there should be images for both targets and fillers, but sound files only for targets. If you notice a mismatch between a name as it appears here and a file name please let Kenny know, I haven't checked them systematically!",
Target,Foil
,
/d/ items,
falling dominoes,standing dominoes
female dancer,male dancer
flying dove,standing dove
formal dinner ,informal dinner
four dolphins,single dolphin
fresh dill,dry dill
harmless devil,evil devil 
healthy dish,unhealthy dish
male dealer,female dealer
male doll,female doll
many dollars,single dollar
narrow door ,wide door
new diary ,old diary
rainy day,sunny day
roaring dinosaur,smiling dinosaur 
running deer ,sleeping deer
small dam,large dam
three dice,two dice
violin duo,flute duo
yellow daisy,white daisy 
,
/t/ items,
eiffel tower,pisa tower
female teacher ,male teacher
four tires,three tires
furry tail,smooth tail
large terrace,small terrace
many tassels,single tassel
narrow tie,wide tie
orange telephone,black telephone
oval tin,square tin
railway tunnel,highway tunnel
real tv,fake tv
shiny tool,dull tool
silver tongs,black tongs
small torch,large torch 
smiling tooth,frowning tooth
snowy town,sunny town
whole tangerine,half tangerine
yellow timer,white timer
yellow towel,blue towel 
yellow toy,multicoloured toy
,
Filler items,
angel wing,airplane wing
animal ear,animal nose
ceiling fan,table fan
howling wolf,eating wolf
female chef,male chef
five flowers,three flowers
five giraffes,single giraffe
flying owl,standing owl
four shells,two shells
frozen river,flowing river
harmless whale,ferocious whale
hazel eye,blue eye
human nose,human ear
large fish,small fish 
leather shoes,cloth shoes
leather sofa,fabric sofa
lemon juice,tomato juice
long hair ,short hair
lounge chair,dining chair
lounging seal,playing seal
messy room,neat room
new house,old house
orange scissors,black scissors
raging sea,calm sea
real farm,fake farm
real flame,fake flame
real moon,fake moon
running horse,sitting horse
silver frame,wooden frame
silver jewellry,gold jewellry
smiling nurse,frowning nurse
swiss cheese,brie cheese
thin arrow,thick arrow
three cherries,single cherry
three raisins,many raisins
whole onion,chopped onion
yawning lion,sitting lion
yellow oven,white oven
yellow rice,white rice
yellow rose,red rose
